OBJECTID_1,OBJECTID,NAME,CCR,Area_sq_mi,Study_Regi,FULLNAME,Type,DFG_URL,CCR_Int,SHORTNAME,Acres,Hectares,Shape__Area,Shape__Length
33,50,Duxbury Reef SMCA,Section 632 (b) (50),0.69045393,NCCSR,Duxbury Reef State Marine Conservation Area,SMCA,https://www.wildlife.ca.gov/Conservation/Marine/MPAs/Network/Title-14-Section-632#Section-632-b-50,50,Duxbury Reef,441.8922693,178.8274568,2877153.598,15248.65558
34,52,North Farallon Islands Special Closure,Section 632 (b) (52),0.21287143,NCCSR,North Farallon Islands Special Closure,Special Closure,https://www.wildlife.ca.gov/Conservation/Marine/MPAs/Network/Title-14-Section-632#Section-632-b-52,52,North Farallon Islands,136.2382602,55.13366782,883843,7355.073536
35,53,Southeast Farallon Island SMR,Section 632 (b) (53),5.35546898,NCCSR,Southeast Farallon Island State Marine Reserve,SMR,https://www.wildlife.ca.gov/Conservation/Marine/MPAs/Network/Title-14-Section-632#Section-632-b-53,53,Southeast Farallon Island,3427.513776,1387.065614,22189599.81,31439.85792
36,54,Southeast Farallon Island SMCA,Section 632 (b) (54),12.94918523,NCCSR,Southeast Farallon Island State Marine Conservation Area,SMCA,https://www.wildlife.ca.gov/Conservation/Marine/MPAs/Network/Title-14-Section-632#Section-632-b-54,54,Southeast Farallon Island,8287.511504,3353.836916,53627764.48,36162.32813
37,55,Southeast Farallon Island Special Closure,Section 632 (b) (55),0.18424907,NCCSR,Southeast Farallon Island Special Closure,Special Closure,https://www.wildlife.ca.gov/Conservation/Marine/MPAs/Network/Title-14-Section-632#Section-632-b-55,55,Southeast Farallon Island,117.9198718,47.72047903,763534.7891,16546.96036
38,56,Fagan Marsh SMP,Section 632 (b) (56),0.65967875,SFBSR,Fagan Marsh State Marine Park,SMP,https://www.wildlife.ca.gov/Conservation/Marine/MPAs/Network/Title-14-Section-632#Section-632-b-56,56,Fagan Marsh,422.1960806,170.856692,2772377.141,10020.22397
39,57,Peytonia Slough SMP,Section 632 (b) (57),0.81925494,SFBSR,Peytonia Slough State Marine Park,SMP,https://www.wildlife.ca.gov/Conservation/Marine/MPAs/Network/Title-14-Section-632#Section-632-b-57,57,Peytonia Slough,524.3252488,212.1869001,3443481.277,13350.75829
40,58,Corte Madera Marsh SMP,Section 632 (b) (58),0.94563449,SFBSR,Corte Madera Marsh State Marine Park,SMP,https://www.wildlife.ca.gov/Conservation/Marine/MPAs/Network/Title-14-Section-632#Section-632-b-58,58,Corte Madera Marsh,605.2084783,244.9191818,3943519.781,14944.41571
41,59,Marin Islands SMP,Section 632 (b) (59),0.54691962,SFBSR,Marin Islands State Marine Park,SMP,https://www.wildlife.ca.gov/Conservation/Marine/MPAs/Network/Title-14-Section-632#Section-632-b-59,59,Marin Islands,350.0299508,141.6520955,2283030.551,11577.39817
42,60,Albany Mudflats SMP,Section 632 (b) (60),0.25749855,SFBSR,Albany Mudflats State Marine Park,SMP,https://www.wildlife.ca.gov/Conservation/Marine/MPAs/Network/Title-14-Section-632#Section-632-b-60,60,Albany Mudflats,164.7997292,66.69208425,1072667.156,5440.694744
43,61,Robert W. Crown SMCA,Section 632 (b) (61),0.01450446,SFBSR,Robert W. Crown State Marine Conservation Area,SMCA,https://www.wildlife.ca.gov/Conservation/Marine/MPAs/Network/Title-14-Section-632#Section-632-b-61,61,Robert W. Crown,9.28289198,3.7566531,60217.89453,2087.825728
44,62,Redwood Shores SMP,Section 632 (b) (62),0.34448674,SFBSR,Redwood Shores State Marine Park,SMP,https://www.wildlife.ca.gov/Conservation/Marine/MPAs/Network/Title-14-Section-632#Section-632-b-62,62,Redwood Shores,220.4723903,89.22201087,1421686.512,24819.12762
45,63,Bair Island SMP,Section 632 (b) (63),3.01832347,SFBSR,Bair Island State Marine Park,SMP,https://www.wildlife.ca.gov/Conservation/Marine/MPAs/Network/Title-14-Section-632#Section-632-b-63,63,Bair Island,1931.734706,781.7453,12450713.13,26314.0313
46,64,Egg (Devil's Slide) Rock to Devil's Slide Special Closure,Section 632 (b) (64),0.05015163,NCCSR,Egg (Devil's Slide) Rock to Devil's Slide Special Closure,Special Closure,https://www.wildlife.ca.gov/Conservation/Marine/MPAs/Network/Title-14-Section-632#Section-632-b-64,64,Egg (Devil's Slide) Rock to Devil's Slide,32.09716873,12.98926334,207158.8477,1822.385234
47,69,Natural Bridges SMR,Section 632 (b) (69),0.25388004,CCSR,Natural Bridges State Marine Reserve,SMR,https://www.wildlife.ca.gov/Conservation/Marine/MPAs/Network/Title-14-Section-632#Section-632-b-69,69,Natural Bridges,162.4838701,65.75488933,1031661.633,22169.5385
48,70,Elkhorn Slough SMR,Section 632 (b) (70),2.72128592,CCSR,Elkhorn Slough State Marine Reserve,SMR,https://www.wildlife.ca.gov/Conservation/Marine/MPAs/Network/Title-14-Section-632#Section-632-b-70,70,Elkhorn Slough,1741.629918,704.8126218,11019448.32,53313.95159
49,71,Elkhorn Slough SMCA,Section 632 (b) (71),0.21650934,CCSR,Elkhorn Slough State Marine Conservation Area,SMCA,https://www.wildlife.ca.gov/Conservation/Marine/MPAs/Network/Title-14-Section-632#Section-632-b-71,71,Elkhorn Slough,138.5665268,56.07588388,876552.6563,5410.40573
50,72,Moro Cojo Slough SMR,Section 632 (b) (72),0.20321996,CCSR,Moro Cojo Slough State Marine Reserve,SMR,https://www.wildlife.ca.gov/Conservation/Marine/MPAs/Network/Title-14-Section-632#Section-632-b-72,72,Moro Cojo Sloug,130.0612906,52.63393691,822375.7734,16879.1889
51,73,Soquel Canyon SMCA,Section 632 (b) (73),22.96827363,CCSR,Soquel Canyon State Marine Conservation Area,SMCA,https://www.wildlife.ca.gov/Conservation/Marine/MPAs/Network/Title-14-Section-632#Section-632-b-73,73,Soquel Canyon,14699.75358,5948.779217,93012248.35,40851.25883
52,74,Portuguese Ledge SMCA,Section 632 (b) (74),10.63563345,CCSR,Portuguese Ledge State Marine Conservation Area,SMCA,https://www.wildlife.ca.gov/Conservation/Marine/MPAs/Network/Title-14-Section-632#Section-632-b-74,74,Portuguese Ledge,6806.832475,2754.627372,42931727.47,27935.89674
53,79,Carmel Pinnacles SMR,Section 632 (b) (79),0.52742007,CCSR,Carmel Pinnacles State Marine Reserve,SMR,https://www.wildlife.ca.gov/Conservation/Marine/MPAs/Network/Title-14-Section-632#Section-632-b-79,79,Carmel Pinnacles,337.5501866,136.6017141,2121203.711,5880.2645
54,82,Point Lobos SMCA,Section 632 (b) (82),8.46681996,CCSR,Point Lobos State Marine Conservation Area,SMCA,https://www.wildlife.ca.gov/Conservation/Marine/MPAs/Network/Title-14-Section-632#Section-632-b-82,82,Point Lobos,5418.786321,2192.905022,34007705.79,23096.52611
55,84,Point Sur SMCA,Section 632 (b) (84),10.61762401,CCSR,Point Sur State Marine Conservation Area,SMCA,https://www.wildlife.ca.gov/Conservation/Marine/MPAs/Network/Title-14-Section-632#Section-632-b-84,84,Point Sur,6795.306389,2749.96293,42393418.98,29015.93377
56,88,Piedras Blancas SMCA,Section 632 (b) (88),8.83680004,CCSR,Piedras Blancas State Marine Conservation Area,SMCA,https://www.wildlife.ca.gov/Conservation/Marine/MPAs/Network/Title-14-Section-632#Section-632-b-88,88,Piedras Blancas,5655.574518,2288.729806,34761433.77,26633.92661
57,91,Morro Bay SMRMA,Section 632 (b) (91),3.06622712,CCSR,Morro Bay State Marine Recreational Management Area,SMRMA,https://www.wildlife.ca.gov/Conservation/Marine/MPAs/Network/Title-14-Section-632#Section-632-b-91,91,Morro Bay,1962.393164,794.1523378,11961537.61,28355.32012
